Type,Location,Date,Time,Pipe,Salinity (psu),Temp (˚C),DO (mg/L),DO (µM)
Pipes,W1D1,10/16/22,T05,1,1.2,18,0.9,28.13
Pipes,W1D1,10/16/22,T05,2,0.7,18,1.05,32.81
Pipes,W1D1,10/20/22,T10,1,0.9,17.8,0.41,12.81
Pipes,W1D1,10/20/22,T10,2,0.6,17.9,0.65,20.31
Pipes,W1D1,11/9/22,T30,1,0.7,16.9,0.9,28.13
Pipes,W1D1,11/9/22,T30,2,0.6,17,0.8,25
Pipes,W1D4,10/16/22,T05,3,6.5,18,0.35,10.94
Pipes,W1D4,10/16/22,T05,4,8.8,17.9,0.3,9.38
Pipes,W1D4,10/20/22,T10,3,7.6,17.8,0.23,7.19
Pipes,W1D4,10/20/22,T10,4,9.8,17.9,0.28,8.75
Pipes,W1D4,11/9/22,T30,3,5.3,16.9,0.38,11.88
Pipes,W1D4,11/9/22,T30,4,7.7,17.1,0.22,6.88
Pipes,W4D1,10/16/22,T05,5,13.5,18.2,0.52,16.25
Pipes,W4D1,10/16/22,T05,6,14,18.3,0.51,15.94
Pipes,W4D1,10/16/22,T05,7,12.5,18.3,0.48,15
Pipes,W4D1,10/20/22,T10,5,14.7,18,0.51,15.94
Pipes,W4D1,10/20/22,T10,6,12.9,18.2,0.47,14.69
Pipes,W4D1,10/20/22,T10,7,16.9,18.1,1.05,32.81
Pipes,W4D1,11/9/22,T30,5,10.8,14,1.15,35.94
Pipes,W4D1,11/9/22,T30,6,10.3,13.8,1.63,50.94
Pipes,W4D1,11/9/22,T30,7,8.4,13.7,0.39,12.19
Pumped,W1D1,10/16/22,T05,NA,0.7,18.2,4.42,138.13
Pumped,W1D1,10/16/22,T05,NA,0.9,18,3.67,114.69
Pumped,W1D4,10/16/22,T05,NA,7.4,18.1,8.38,261.88
Pumped,W1D4,10/16/22,T05,NA,7.4,17.8,4.31,134.69
Pumped,W4D1,10/16/22,T05,NA,12,18.4,5.96,186.25
Pumped,W4D1,10/16/22,T05,NA,11.8,18.3,5.65,176.56
Pumped,W1D1,10/20/22,T10,NA,0.7,17.1,4.29,134.06
Pumped,W1D1,10/20/22,T10,NA,0.9,17.1,3.82,119.38
Pumped,W1D4,10/20/22,T10,NA,8.8,17,7.55,235.94
Pumped,W1D4,10/20/22,T10,NA,10.2,16.8,3.2,100
Pumped,W4D1,10/20/22,T10,NA,15.7,18.6,3.31,103.44
Pumped,W4D1,10/20/22,T10,NA,14.7,18.6,3.26,101.88
Pumped,W1D1,11/9/22,T30,NA,1.1,15.9,11.15,348.44
Pumped,W1D1,11/9/22,T30,NA,2.9,16.2,5.26,164.38
Pumped,W1D4,11/9/22,T30,NA,8.5,16.3,6.58,205.63
Pumped,W1D4,11/9/22,T30,NA,7.7,16.3,3.46,108.13
Pumped,W4D1,11/9/22,T30,NA,NA,15,5.91,184.69
Pumped,W4D1,11/9/22,T30,NA,NA,15.5,4.67,145.94
